task,ppt,SYNSscene,SYNSView,categorySelected,categoryLabelSelected
Structure,1,64,15,4,Tunnel/ \n Navigable\n Routes 
Structure,1,69,13,2,Closed Off
Structure,1,74,9,2,Closed Off
Structure,1,67,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,77,7,1,Cluttered / \n Pointy   
Structure,1,34,13,3,Flat
Structure,1,76,17,3,Flat
Structure,1,69,1,3,Flat
Structure,1,7,5,2,Closed Off
Structure,1,46,9,1,Cluttered / \n Pointy   
Structure,1,28,11,1,Cluttered / \n Pointy   
Structure,1,26,9,1,Cluttered / \n Pointy   
Structure,1,36,11,2,Closed Off
Structure,1,35,7,2,Closed Off
Structure,1,59,5,1,Cluttered / \n Pointy   
Structure,1,59,13,2,Closed Off
Structure,1,64,5,1,Cluttered / \n Pointy   
Structure,1,41,9,2,Closed Off
Structure,1,16,7,1,Cluttered / \n Pointy   
Structure,1,33,1,3,Flat
Structure,1,66,9,3,Flat
Structure,1,58,1,2,Closed Off
Structure,1,54,5,2,Closed Off
Structure,1,46,5,1,Cluttered / \n Pointy   
Structure,1,45,7,1,Cluttered / \n Pointy   
Structure,1,11,11,3,Flat
Structure,1,73,13,2,Closed Off
Structure,1,33,17,3,Flat
Structure,1,59,7,3,Flat
Structure,1,54,7,4,Tunnel/ \n Navigable\n Routes 
Structure,1,40,11,3,Flat
Structure,1,8,5,3,Flat
Structure,1,23,9,3,Flat
Structure,1,53,11,3,Flat
Structure,1,63,13,2,Closed Off
Structure,1,11,13,4,Tunnel/ \n Navigable\n Routes 
Structure,1,38,17,2,Closed Off
Structure,1,43,15,1,Cluttered / \n Pointy   
Structure,1,22,17,4,Tunnel/ \n Navigable\n Routes 
Structure,1,36,7,2,Closed Off
Structure,1,2,5,1,Cluttered / \n Pointy   
Structure,1,66,11,3,Flat
Structure,1,1,17,2,Closed Off
Structure,1,40,13,3,Flat
Structure,1,29,13,3,Flat
Structure,1,22,9,1,Cluttered / \n Pointy   
Structure,1,40,17,3,Flat
Structure,1,67,11,4,Tunnel/ \n Navigable\n Routes 
Structure,1,48,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,57,7,2,Closed Off
Structure,1,71,9,3,Flat
Structure,1,37,15,3,Flat
Structure,1,21,9,3,Flat
Structure,1,36,1,3,Flat
Structure,1,57,5,2,Closed Off
Structure,1,27,7,2,Closed Off
Structure,1,73,11,2,Closed Off
Structure,1,9,15,3,Flat
Structure,1,56,3,2,Closed Off
Structure,1,9,7,3,Flat
Structure,1,33,11,3,Flat
Structure,1,30,3,2,Closed Off
Structure,1,35,15,2,Closed Off
Structure,1,72,9,1,Cluttered / \n Pointy   
Structure,1,32,17,4,Tunnel/ \n Navigable\n Routes 
Structure,1,70,15,2,Closed Off
Structure,1,18,13,2,Closed Off
